P11,P12,P13,P21,P22,P23,P31,P32,P33,P41,P42,P43,R1,R2,R3,R4
-11695611.84,13730421.17,19002496.36,-21098429.6,1656896.078,16252403.61,-14413859.51,8295166.944,20847385.51,7154913.471,13177959.42,21912350.98,23601418.93,26252952.34,24710410.74,25542658.07
-11696290.32,13728010.05,19003880.02,-21100205.77,1655809,16250299.44,-14414279.62,8292588.568,20848189.2,7152592.478,13179494.31,21912210.72,23601681.01,26253472.58,24710851.19,25542214.26
-11696968.97,13725598.79,19005263.27,-21101981.77,1654722.153,16248194.92,-14414699.89,8290010.119,20848992.46,7150271.588,13181029.33,21912069.99,23601944.7,26253997.35,24711289.8,25541767.05
-11697647.77,13723187.39,19006646.1,-21103757.6,1653635.536,16246090.06,-14415120.3,8287431.596,20849795.27,7147950.805,13182564.49,21911928.8,23602207.13,26254519,24711730.95,25541320.99
-11698326.72,13720775.86,19008028.51,-21105533.26,1652549.151,16243984.85,-14415540.86,8284852.999,20850597.65,7145630.126,13184099.77,21911787.14,23602468.09,26255038.75,24712173.08,25540873.87
-11699005.83,13718364.19,19009410.51,-21107308.75,1651462.997,16241879.3,-14415961.57,8282274.328,20851399.6,7143309.552,13185635.18,21911645.01,23602731.79,26255563.12,24712612.47,25540428.54
-11699685.1,13715952.38,19010792.09,-21109084.08,1650377.073,16239773.4,-14416382.44,8279695.583,20852201.1,7140989.083,13187170.73,21911502.41,23602992.59,26256084.7,24713054.86,25539982.89
-11700364.53,13713540.43,19012173.25,-21110859.23,1649291.381,16237667.15,-14416803.45,8277116.764,20853002.18,7138668.72,13188706.4,21911359.35,23603256.4,26256608.55,24713496.25,25539536.65
-11701044.1,13711128.35,19013553.99,-21112634.22,1648205.919,16235560.56,-14417224.62,8274537.872,20853802.81,7136348.462,13190242.21,21911215.82,23603519.54,26257131.88,24713939.07,25539092.2
-11701723.84,13708716.13,19014934.31,-21114409.04,1647120.688,16233453.62,-14417645.93,8271958.907,20854603.01,7134028.31,13191778.15,21911071.83,23603781.13,26257652.81,24714380,25538645.04
-11702403.73,13706303.77,19016314.22,-21116183.69,1646035.688,16231346.33,-14418067.4,8269379.867,20855402.77,7131708.263,13193314.21,21910927.37,23604044.6,26258176.54,24714818.86,25538201.01
-11703083.78,13703891.28,19017693.71,-21117958.17,1644950.919,16229238.7,-14418489.02,8266800.755,20856202.1,7129388.321,13194850.41,21910782.44,23604306.31,26258697.99,24715261.34,25537754.06
-11703762.03,13701480.37,19019078,-21119734.59,1643863.494,16227135.05,-14418908.9,8264222.492,20857006.44,7127067.171,13196385.1,21910642.88,23604572.03,26259224.47,24715705.47,25537311.37
-11704438.49,13699071.04,19020467.09,-21121512.94,1642773.413,16225035.39,-14419327.06,8261645.085,20857815.8,7124744.817,13197918.29,21910508.69,23604840.29,26259756.37,24716154.13,25536871.76
-11705115.11,13696661.57,19021855.77,-21123291.13,1641683.563,16222935.39,-14419745.36,8259067.603,20858624.72,7122422.568,13199451.6,21910374.03,23605109.48,26260286.22,24716599.53,25536432.83
-11705791.88,13694251.96,19023244.02,-21125069.15,1640593.944,16220835.04,-14420163.82,8256490.046,20859433.21,7120100.423,13200985.05,21910238.91,23605375.81,26260817.41,24717045.12,25535994.45
-11706468.81,13691842.22,19024631.86,-21126847,1639504.556,16218734.34,-14420582.43,8253912.414,20860241.26,7117778.382,13202518.62,21910103.32,23605647.61,26261345.79,24717493.15,25535552.8
-11707145.9,13689432.34,19026019.28,-21128624.69,1638415.399,16216633.29,-14421001.18,8251334.708,20861048.87,7115456.446,13204052.33,21909967.26,23605915.47,26261877.06,24717941.49,25535115.02
-11707823.14,13687022.32,19027406.29,-21130402.2,1637326.473,16214531.9,-14421420.09,8248756.927,20861856.05,7113134.614,13205586.17,21909830.74,23606184.83,26262406.74,24718387.44,25534673.48
-11708500.53,13684612.16,19028792.88,-21132179.55,1636237.778,16212430.16,-14421839.15,8246179.072,20862662.8,7110812.886,13207120.14,21909693.74,23606453.9,26262937.26,24718836.83,25534235.08
-11709178.08,13682201.86,19030179.05,-21133956.73,1635149.314,16210328.07,-14422258.36,8243601.142,20863469.1,7108491.264,13208654.25,21909556.29,23606722.63,26263465.86,24719283.24,25533795.73
-11709855.79,13679791.43,19031564.8,-21135733.74,1634061.081,16208225.63,-14422677.72,8241023.138,20864274.97,7106169.746,13210188.48,21909418.36,23606993.47,26263999.46,24719730.86,25533355.71
-11710533.66,13677380.86,19032950.14,-21137510.58,1632973.079,16206122.85,-14423097.23,8238445.059,20865080.41,7103848.332,13211722.84,21909279.97,23607262.35,26264529.92,24720178.02,25532915.09
-11711211.68,13674970.15,19034335.05,-21139287.26,1631885.308,16204019.73,-14423516.89,8235866.906,20865885.4,7101527.024,13213257.34,21909141.11,23607531.69,26265060.24,24720624.32,25532478.43
-11711889.85,13672559.3,19035719.56,-21141063.76,1630797.768,16201916.25,-14423936.7,8233288.679,20866689.97,7099205.82,13214791.97,21909001.78,23607801.36,26265590.86,24721071.76,25532037.69
-11712568.18,13670148.32,19037103.64,-21142840.1,1629710.458,16199812.43,-14424356.66,8230710.378,20867494.09,7096884.721,13216326.73,21908861.99,23608069.77,26266122.62,24721521.1,25531597.95
-11713246.67,13667737.2,19038487.3,-21144616.27,1628623.38,16197708.26,-14424776.77,8228132.003,20868297.78,7094563.727,13217861.62,21908721.73,23608339.66,26266651.06,24721968.55,25531161.45
-11713925.31,13665325.94,19039870.55,-21146392.27,1627536.533,16195603.75,-14425197.03,8225553.554,20869101.03,7092242.838,13219396.64,21908581,23608611.16,26267184.04,24722414.16,25530721.55
-11714604.11,13662914.54,19041253.38,-21148168.1,1626449.917,16193498.88,-14425617.45,8222975.03,20869903.85,7089922.054,13220931.79,21908439.81,23608881.4,26267713.89,24722862.3,25530282.79
-11715283.07,13660503.01,19042635.8,-21149943.76,1625363.531,16191393.68,-14426038.01,8220396.433,20870706.23,7087601.375,13222467.07,21908298.15,23609150.17,26268241.85,24723311.44,25529842.98
-11715962.18,13658091.33,19044017.79,-21151719.25,1624277.377,16189288.12,-14426458.72,8217817.762,20871508.17,7085280.801,13224002.49,21908156.02,23609421.69,26268774.43,24723757.82,25529404.96
-11716641.45,13655679.53,19045399.37,-21153494.58,1623191.454,16187182.22,-14426879.59,8215239.018,20872309.68,7082960.333,13225538.03,21908013.43,23609690.3,26269304.22,24724207.22,25528966.61
-11717320.87,13653267.58,19046780.53,-21155269.74,1622105.761,16185075.97,-14427300.6,8212660.199,20873110.75,7080639.97,13227073.71,21907870.37,23609961.92,26269836.28,24724655.61,25528527.69
-11718000.45,13650855.5,19048161.27,-21157044.72,1621020.299,16182969.38,-14427721.77,8210081.307,20873911.39,7078319.712,13228609.51,21907726.84,23610232.87,26270367.81,24725105.42,25528090.55
-11718680.19,13648443.28,19049541.6,-21158819.54,1619935.069,16180862.44,-14428143.08,8207502.341,20874711.59,7075999.559,13230145.45,21907582.84,23610502.27,26270896.96,24725553.36,25527650.7
-11719360.08,13646030.92,19050921.5,-21160594.19,1618850.069,16178755.15,-14428564.55,8204923.302,20875511.35,7073679.512,13231681.52,21907438.38,23610773.55,26271428.9,24725999.21,25527213.97
-11720040.13,13643618.43,19052300.99,-21162368.67,1617765.3,16176647.52,-14428986.16,8202344.189,20876310.67,7071359.57,13233217.72,21907293.45,23611043.07,26271958.55,24726448.69,25526774.33
-11720718.38,13641207.51,19053685.28,-21164145.09,1616677.875,16174543.87,-14429406.05,8199765.927,20877115.02,7069038.42,13234752.41,21907153.89,23611316.6,26272493.24,24726899.83,25526338.94
-11721394.84,13638798.18,19055074.37,-21165923.44,1615587.794,16172444.21,-14429824.2,8197188.52,20877924.38,7066716.067,13236285.59,21907019.7,23611592.68,26273033.34,24727355.49,25525906.64
-11722071.46,13636388.72,19056463.05,-21167701.63,1614497.944,16170344.21,-14430242.51,8194611.037,20878733.3,7064393.817,13237818.9,21906885.04,23611869.68,26273571.39,24727807.88,25525475.02
-11722748.23,13633979.11,19057851.3,-21169479.65,1613408.324,16168243.86,-14430660.97,8192033.481,20879541.79,7062071.672,13239352.35,21906749.92,23612143.82,26274110.78,24728260.47,25525043.95
-11723425.16,13631569.37,19059239.14,-21171257.5,1612318.936,16166143.16,-14431079.57,8189455.849,20880349.84,7059749.631,13240885.93,21906614.33,23612423.43,26274647.37,24728715.5,25524609.6
-11724102.24,13629159.48,19060626.57,-21173035.19,1611229.779,16164042.11,-14431498.33,8186878.143,20881157.45,7057427.695,13242419.64,21906478.27,23612699.1,26275186.85,24729170.85,25524179.14
-11724779.48,13626749.46,19062013.57,-21174812.7,1610140.853,16161940.72,-14431917.24,8184300.362,20881964.63,7055105.863,13243953.48,21906341.75,23612976.28,26275724.73,24729623.8,25523744.9
-11725456.88,13624339.31,19063400.16,-21176590.05,1609052.158,16159838.98,-14432336.3,8181722.507,20882771.37,7052784.136,13245487.45,21906204.76,23613253.15,26276263.46,24730080.19,25523313.81
-11726134.43,13621929.01,19064786.33,-21178367.23,1607963.694,16157736.89,-14432755.51,8179144.577,20883577.68,7050462.513,13247021.55,21906067.3,23613529.69,26276800.26,24730533.59,25522881.77
-11726812.14,13619518.58,19066172.08,-21180144.24,1606875.461,16155634.46,-14433174.87,8176566.573,20884383.55,7048140.995,13248555.78,21905929.38,23613808.34,26277342.07,24730988.22,25522449.05
-11727490,13617108,19067557.42,-21181921.08,1605787.459,16153531.67,-14433594.38,8173988.494,20885188.98,7045819.581,13250090.15,21905790.98,23614085.04,26277880.73,24731442.37,25522015.74
-11728168.02,13614697.3,19068942.34,-21183697.76,1604699.688,16151428.55,-14434014.04,8171410.341,20885993.98,7043498.273,13251624.65,21905652.12,23614362.19,26278419.26,24731895.67,25521586.39
-11728846.2,13612286.45,19070326.84,-21185474.26,1603612.148,16149325.07,-14434433.85,8168832.114,20886798.54,7041177.069,13253159.27,21905512.8,23614639.66,26278958.09,24732350.12,25521152.96
-11729524.53,13609875.46,19071710.92,-21187250.6,1602524.839,16147221.25,-14434853.81,8166253.813,20887602.67,7038855.97,13254694.03,21905373.01,23614915.89,26279498.05,24732806.45,25520720.52
-11730203.02,13607464.34,19073094.59,-21189026.77,1601437.761,16145117.08,-14435273.92,8163675.438,20888406.36,7036534.976,13256228.92,21905232.75,23615193.59,26280034.69,24733260.89,25520291.33
-11730881.66,13605053.08,19074477.83,-21190802.77,1600350.913,16143012.57,-14435694.18,8161096.988,20889209.61,7034214.087,13257763.94,21905092.02,23615472.9,26280575.88,24733713.51,25519858.73
-11731560.46,13602641.69,19075860.66,-21192578.6,1599264.297,16140907.71,-14436114.59,8158518.465,20890012.43,7031893.303,13259299.09,21904950.82,23615750.95,26281113.94,24734168.65,25519427.29
-11732239.42,13600230.15,19077243.08,-21194354.26,1598177.912,16138802.5,-14436535.16,8155939.868,20890814.81,7029572.624,13260834.38,21904809.16,23616027.53,26281650.1,24734624.79,25518994.78
-11732918.53,13597818.48,19078625.07,-21196129.76,1597091.757,16136696.94,-14436955.87,8153361.197,20891616.75,7027252.051,13262369.79,21904667.04,23616306.86,26282190.89,24735078.17,25518564.08
-11733597.8,13595406.67,19080006.65,-21197905.08,1596005.834,16134591.04,-14437376.73,8150782.452,20892418.26,7024931.582,13263905.34,21904524.44,23616583.28,26282728.88,24735534.56,25518133.03
-11734277.22,13592994.73,19081387.81,-21199680.24,1594920.141,16132484.79,-14437797.75,8148203.634,20893219.33,7022611.219,13265441.01,21904381.38,23616862.7,26283269.15,24735989.95,25517701.42
-11734956.8,13590582.64,19082768.55,-21201455.22,1593834.68,16130378.2,-14438218.91,8145624.742,20894019.96,7020290.961,13266976.82,21904237.85,23617141.47,26283808.89,24736446.76,25517271.58
-11735636.54,13588170.42,19084148.88,-21203230.04,1592749.449,16128271.26,-14438640.23,8143045.776,20894820.16,7017970.808,13268512.75,21904093.86,23617418.67,26284346.24,24736901.69,25516839.04
-11736316.43,13585758.07,19085528.78,-21205004.69,1591664.449,16126163.97,-14439061.69,8140466.737,20895619.92,7015650.761,13270048.82,21903949.39,23617697.76,26284886.39,24737354.54,25516409.62
-11736996.48,13583345.57,19086908.27,-21206779.17,1590579.68,16124056.34,-14439483.31,8137887.624,20896419.25,7013330.82,13271585.02,21903804.46,23617975.09,26285424.25,24737811.02,25515977.29
